Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2026-01-29,Belgrano,Tigre,1,1,D,NA,NA,NA,NA,1.93,2.96,4.61,3,3,9,7,1
2026-01-29,Lanus,Union de Santa Fe,2,1,H,NA,NA,NA,NA,2.05,2.88,4.17,3,1,9,20,2
2026-01-30,Estudiantes Rio Cuarto,Argentinos Jrs,0,0,D,NA,NA,NA,NA,5.5,3.12,1.74,0,3,30,10,1
2026-01-30,Sarmiento Junin,Banfield,1,0,H,NA,NA,NA,NA,3.46,2.78,2.35,0,1,27,19,2
2026-01-31,San Lorenzo,Central Cordoba,1,0,H,NA,NA,NA,NA,1.78,3.01,5.7,3,1,12,26,2
2026-01-31,Independiente,Velez Sarsfield,1,1,D,NA,NA,NA,NA,2.13,2.95,3.79,2,6,18,4,1
2026-02-01,Boca Juniors,Newells Old Boys,2,0,H,NA,NA,NA,NA,1.45,3.9,8.23,3,1,15,21,2
2026-02-01,Barracas Central,Dep. Riestra,1,1,D,NA,NA,NA,NA,3.0,2.55,2.87,1,0,24,30,1
2026-02-01,Atl. Tucuman,Huracan,1,1,D,NA,NA,NA,NA,2.59,2.76,3.09,1,1,22,21,1
2026-02-01,Talleres Cordoba,Platense,1,2,A,NA,NA,NA,NA,1.94,2.93,4.72,3,4,15,10,0
2026-02-02,Rosario Central,River Plate,0,0,D,NA,NA,NA,NA,2.69,2.9,2.82,3,6,14,3,1
2026-02-02,Gimnasia L.P.,Aldosivi,3,1,H,NA,NA,NA,NA,2.03,2.85,4.36,3,2,18,19,2
2026-02-02,Defensa y Justicia,Estudiantes L.P.,0,0,D,NA,NA,NA,NA,3.38,2.85,2.35,4,4,13,11,1
2026-02-02,Tigre,Racing Club,3,1,H,NA,NA,NA,NA,3.68,2.86,2.22,4,0,11,29,2
